,image_path,actual,predicted
0,00206969-018_Kalodimos_TIF.jpg,"{'description': (0x010E) ASCII=00206969-018, 05-23-19, staff location portraits, individuals, researchers, Bruker Ascend 1.1 GHz magnet, NMR, man, male, Babis Kalodimos PhD (Structural Biology), @ 200}","In this image I can see a person standing and holding a book. I can see he is wearing a blue color blazer and white color shirt. In the background I can see few pillars, few lights and the blue color wall."
1,00214636-006_TIF.jpg,"{'description': (0x010E) ASCII=00214636-006, 07-01-21, campus aerial, campus exterior, Hope garden, drone @ 188}","In this image we can see a garden with plants, trees, benches, flowers, and a heart shape. We can also see the road, a crosswalk, and the sky."
2,00204697-010_TIF.jpg,"{'description': (0x010E) ASCII=00204697-010, 01-31-19, research instruments, laboratory, reagent bottles, glassware, cleaning, autoclave, @ 200}",In this image we can see some glasses placed on the table.
3,00206966-004_Abraham_TIF.jpg,"{'description': (0x010E) ASCII=00206966-004, 05-23-19, staff - location portraits, office, Computational Biology, male, Brian Abraham, @ 200}","a man sitting at a desk with a laptop and a monitor behind him with a graph on it that says ""words""."
4,00213077-009_TIF.jpg,"{'description': (0x010E) ASCII=00213077-009, 11-09-20, campus exteriors, campus details, fall, seasons, leaves, trees, lamp posts, street lights, flags, banners, @ 200}","In this image we can see a banner on the pole. In the background, we can see trees and the sky."
5,00204787-022_TIF.jpg,"{'description': (0x010E) ASCII=00204787-022, 02-05-19, research instruments, laboratory, 96 channel pipette, @ 200}",In this image we can see some objects.
6,10001677-029-V1_TIF.jpg,"{'description': (0x010E) ASCII=10-05-22, Campus exterior, i4ARC, ARC, research tower, drone, evening, Inspiration Advanced Research Center @ 236}",In this image we can see a building with windows.
7,00201431-028_TIF.jpg,"{'description': (0x010E) ASCII=00201431-028, 08-15-18, Administration, staff - location portraits, individuals, presentation speaker, James (Jim) Downing MD (St. Jude CEO and President), @ 200}",In this image I can see a person standing and wearing blue color suit and red color tie. I can see a podium and on it I can see a paper. In the background I can see the wall.
8,00202381-006_TIF.jpg,"{'description': (0x010E) ASCII=00202381-006, 09-21-18, Memphis views, aerials, drone view, downtown Memphis, cityscape, sunrise, @ 200}","In this image we can see buildings, trees, water, boats, road and sky."
9,00207400-092_TIF.jpg,"{'description': (0x010E) ASCII=00207400-092, 06-21-19, Board of Governors, Board Tribute Dinner,  DEC, Camille Sarrouf Jr, @ 200}","In this image I can see a person standing and wearing black color suit and purple color tie. I can see a podium, few microphones, few flowers and few candles on the table. In the background I can see the wall."
10,219801-017_TIF.jpg,"{'description': (0x010E) ASCII=A St. Jude Research website photo for Kiel Neumann’s lab.

- SJR - Kiel Neumann lab at DTRC, Danny Thomas Research Center.

- Camera Settings: ILCE-9M2, 90mm, ISO 320, 1/80, f/4, Tue, 08-01-2023 at 10:30. v.04.2024 OP @ 224}",a measuring cup with 400 ml of brown liquid in it.
11,00216097-020-V2_TIF.jpg,"{'description': (0x010E) ASCII=00216097, campus aerial views, exterior @ 200}","In this image we can see a building. In the background there are trees, buildings, vehicles on the road, sky and clouds."
12,00215616-013_TIF.jpg,"{'description': (0x010E) ASCII=00215616, Memphis Views, Mighty Lights, Memphis Bridge, Mississippi river, Have More in Memphis @ 200}","In this image we can see a bridge, water, rocks and sky."
13,00214636-001-V1_TIF.jpg,"{'description': (0x010E) ASCII=00214636, campus aerial, campus exterior, @ 200}","In this image we can see buildings, trees, vehicles, sky with clouds and a dome."
14,00216338-005_TIF.jpg,"{'description': (0x010E) ASCII=A media release image of Timothy (Tim) Stachowski and Marcus Fischer. 

- Camera Settings: ILCE-9M2, 24mm, ISO 500, 1/125, f/4.5, Fri, 06-03-2022 at 10:44. v.04.2024 MRP @ 224}",In this image there are two persons standing and holding papers in their hands. In the background there is a board.
15,00216511-003-V1_TIF.jpg,"{'description': (0x010E) ASCII=00216511, campus exterior, I4ARC research tower, ARC, drone @ 200}","In this image we can see a building, trees, plants, road, and the sky with clouds."
16,00213011-002_TIF.jpg,"{'description': (0x010E) ASCII=00213011-002, 11-04-20,  campus exteriors, campus details, fall, seasons, leaves, Marlo Thomas Center, Kay Research and Care Center, @ 200}","In this image we can see buildings, trees, grass, road, vehicles, poles, boards, and sky."
17,00211922-107_TIF.jpg,"{'description': (0x010E) ASCII=00211922-107, 04-06-20, events, staff - location, COVID-19, coronavirus, Unsung Heroes, Animal Resource Center, ARC, @ 200}",In this image we can see a person holding a stick. In the background of the image there is a table and a microscope.
18,00216511-028-V1_TIF.jpg,"{'description': (0x010E) ASCII=00216511, campus exterior, aerial views @ 200}","In this image we can see buildings, trees, vehicles on the road, poles, sky and clouds."
19,00204680-015_TIF.jpg,"{'description': (0x010E) ASCII=00204680-015, 01-29-19, research instruments, vials, blue light, Macromolecular Synthesis, Liberty Blue Automated Microwave Peptide Synthesizer, @ 200}",In this image we can see some test tubes.
20,00213077-011_TIF.jpg,"{'description': (0x010E) ASCII=00213077-011, 11-09-20, campus exteriors, campus details, fall, seasons, leaves, trees, garden, @ 200}","In this image we can see a statue, trees, plants, grass, wall and sky."
21,00213011-013_TIF.jpg,"{'description': (0x010E) ASCII=00213011-013, 11-04-20,  campus exteriors, campus details, fall, seasons, leaves, Kay Research and Care Center, @ 200}",In this image we can see a building with windows. On the left side of the image we can see a tree.
