,image_path,actual,predicted
0,00213122-020_JPG.jpg,"{'description': (0x010E) ASCII=00213122, campus aerial, exterior, drone @ 224}","USER:  
 Generate a description. 
ASSISTANT: The image features a large, modern hospital with a large dome-shaped roof, surrounded by"
1,00204754-015_TIF.jpg,"{'description': (0x010E) ASCII=00204754-015, 01-30-19, research instruments, Affeymetrix, DNA microarrays, GeneChip arrays, @ 200}","USER:  
 Generate a description. 
ASSISTANT: The image features a row of fourteen identical machines, each with a set of fourteen identical bott"
2,00204680-028_TIF.jpg,"{'description': (0x010E) ASCII=00204680-028, 01-29-19, research instruments, vials, blue light, Macromolecular Synthesis, Liberty Blue Automated Microwave Peptide Synthesizer, @ 200}","USER:  
 Generate a description. 
ASSISTANT: The image features a blue light illuminating a series of blue plastic bottles. The bott"
3,00209080-009_TIF.jpg,"{'description': (0x010E) ASCII=00209080-009, 08-26-19, staff groups, location portraits, colleagues, collaborating, collaboration, researchers, white lab coats, laboratory background, (LR) Thirumala-Devi Kanneganti PhD (Immunology), Kesav Sannula PhD (Immunology), Parimal Parimal Samir PhD (Immunology), @ 200}","USER:  
 Generate a description. 
ASSISTANT: The image shows a group of three men standing in a room, each holding a piece of paper."
4,00204787-015_TIF.jpg,"{'description': (0x010E) ASCII=00204787-015, 02-05-19, research instruments, laboratory, 96 channel pipette, 96-well plates, @ 200}","USER:  
 Generate a description. 
ASSISTANT: The image features a large collection of glass tubes filled with various types of liquid. The tubes"
5,00204767-017_TIF.jpg,"{'description': (0x010E) ASCII=00204767-017, 01-31-19, research procedures, pipet, pipette, laboratory background, Youngdae Gwon PhD (Cell and Molecular Biology), @ 200}","USER:  
 Generate a description. 
ASSISTANT: The image shows a person wearing gloves and a white lab coat, holding a microscope"
6,235506-083_TIF.jpg,"{'description': (0x010E) ASCII=An image from the Structural Biology booklet of the X-ray Crystallography Center.

- Structural Biology Booklet - X-ray Crystallography Center at DTRC, Danny Thomas Research Center.

- Camera Settings: ILCE-9M2, 90mm, ISO 1000, 1/160, f/4, Fri, 09-08-2023 at 10:26. v.04.2024 OP @ 224}","USER:  
 Generate a description. 
ASSISTANT: The image features a close-up of a machine that is focused on a small object, possibly a"
7,00204589-039_TIF.jpg,"{'description': (0x010E) ASCII=00204589-039, 01-18-19, research procedures, vials, @ 200}","USER:  
 Generate a description. 
ASSISTANT: The image shows a person, likely a scientist, working on a table with several small plastic"
8,00213077-003_TIF.jpg,"{'description': (0x010E) ASCII=00213077-003, 11-09-20, campus exteriors, campus details, fall, seasons, leaves, trees, Donald P Pinkel MD Research Tower, Danny Thomas Research Center, entrance, @ 200}","USER:  
 Generate a description. 
ASSISTANT: The image features a large building with a glass dome on its roof, surrounded by trees. The"
9,10001028-047_TIF.jpg,"{'description': (0x010E) ASCII=A St. Jude Research image from Christopher Tinkle’s lab. Liying Fan

- SJR - Christopher Tinkle lab at Donald P. Pinkel, MD, Research Tower.

- Camera Settings: ILCE-9M2, 55mm, ISO 320, 1/500, f/2, Tue, 08-23-2022 at 10:55. v.04.2024 OP @ 224}","USER:  
 Generate a description. 
ASSISTANT: The image features a woman wearing a white lab coat, standing in front of a yellow wall."
